#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    1   13  -1.400e-01  -2.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   14  -1.400e-01  -1.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   15  -1.400e-01   0.000e+00   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   16  -1.400e-01   1.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   17  -1.400e-01   2.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   18  -1.400e-01   3.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   19  -1.400e-01   4.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   20  -1.400e-01   5.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   21  -1.400e-01   6.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   22  -1.400e-01   7.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   23  -1.400e-01   8.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   24  -1.400e-01   9.000e-02   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   25  -1.400e-01   1.000e-01   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   26  -1.400e-01   1.100e-01   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   27  -1.400e-01   1.200e-01   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   28  -1.400e-01   1.300e-01   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   29  -1.400e-01   1.400e-01   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    1   30  -1.400e-01   1.500e-01   0.000e+00  1.000e+00  6.123e-17   35.651  0.000e+00    0.000  1.000e+00 -144.349
    2    0  -1.300e-01  -1.500e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    1  -1.300e-01  -1.400e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    2  -1.300e-01  -1.300e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    3  -1.300e-01  -1.200e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    4  -1.300e-01  -1.100e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    5  -1.300e-01  -1.000e-01   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    6  -1.300e-01  -9.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    7  -1.300e-01  -8.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    8  -1.300e-01  -7.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2    9  -1.300e-01  -6.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   10  -1.300e-01  -5.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   11  -1.300e-01  -4.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   12  -1.300e-01  -3.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   13  -1.300e-01  -2.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
    2   14  -1.300e-01  -1.000e-02   0.000e+00  1.000e+00  6.123e-17   71.676  0.000e+00    0.000  1.000e+00 -108.324
