#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    1   13  -1.400e-01  -2.000e-02   0.000e+00  1.050e+00  1.584e-17  -14.696  2.445e-17   74.491  1.050e+00   68.975
    1   14  -1.400e-01  -1.000e-02   0.000e+00  1.086e+00  1.874e-17   -4.219  1.304e-17   76.644  1.086e+00   70.107
    1   15  -1.400e-01   0.000e+00   0.000e+00  1.098e+00  1.988e-17   -1.028  0.000e+00    0.000  1.098e+00   70.492
    1   16  -1.400e-01   1.000e-02   0.000e+00  1.086e+00  1.874e-17   -4.219  1.304e-17 -103.356  1.086e+00   70.107
    1   17  -1.400e-01   2.000e-02   0.000e+00  1.050e+00  1.584e-17  -14.696  2.445e-17 -105.509  1.050e+00   68.975
    1   18  -1.400e-01   3.000e-02   0.000e+00  9.931e-01  1.260e-17  -34.697  3.306e-17 -109.042  9.931e-01   67.151
    1   19  -1.400e-01   4.000e-02   0.000e+00  9.174e-01  1.061e-17  -63.688  3.846e-17 -113.799  9.174e-01   64.691
    1   20  -1.400e-01   5.000e-02   0.000e+00  8.280e-01  1.004e-17  -93.330  4.093e-17 -119.441  8.280e-01   61.585
    1   21  -1.400e-01   6.000e-02   0.000e+00  7.308e-01  9.543e-18 -118.218  4.120e-17 -125.388  7.308e-01   57.677
    1   22  -1.400e-01   7.000e-02   0.000e+00  6.329e-01  8.301e-18 -141.218  4.013e-17 -130.884  6.329e-01   52.573
    1   23  -1.400e-01   8.000e-02   0.000e+00  5.428e-01  6.644e-18 -166.983  3.846e-17 -135.259  5.428e-01   45.576
    1   24  -1.400e-01   9.000e-02   0.000e+00  4.695e-01  5.441e-18  164.025  3.672e-17 -138.346  4.695e-01   35.820
    1   25  -1.400e-01   1.000e-01   0.000e+00  4.226e-01  4.965e-18  142.763  3.513e-17 -140.816  4.226e-01   22.915
    1   26  -1.400e-01   1.100e-01   0.000e+00  4.079e-01  4.926e-18  142.262  3.346e-17 -144.121  4.079e-01    7.979
    1   27  -1.400e-01   1.200e-01   0.000e+00  4.217e-01  6.275e-18  158.452  3.112e-17 -150.115  4.217e-01   -6.603
    1   28  -1.400e-01   1.300e-01   0.000e+00  4.499e-01  9.896e-18  167.765  2.766e-17 -161.064  4.499e-01  -19.179
    1   29  -1.400e-01   1.400e-01   0.000e+00  4.738e-01  1.476e-17  166.242  2.356e-17  179.584  4.738e-01  -29.681
    1   30  -1.400e-01   1.500e-01   0.000e+00  4.764e-01  1.939e-17  158.864  2.241e-17  151.893  4.764e-01  -38.820
    2    0  -1.300e-01  -1.500e-01   0.000e+00  4.660e-01  2.308e-17 -164.770  2.465e-17   -2.260  4.660e-01   -9.648
    2    1  -1.300e-01  -1.400e-01   0.000e+00  4.718e-01  1.713e-17 -152.464  2.530e-17   27.019  4.718e-01    0.750
    2    2  -1.300e-01  -1.300e-01   0.000e+00  4.549e-01  1.047e-17 -142.794  2.952e-17   48.763  4.549e-01   12.748
    2    3  -1.300e-01  -1.200e-01   0.000e+00  4.333e-01  4.694e-18 -142.169  3.299e-17   62.595  4.333e-01   26.831
    2    4  -1.300e-01  -1.100e-01   0.000e+00  4.260e-01  2.078e-18  170.938  3.487e-17   71.458  4.260e-01   42.463
    2    5  -1.300e-01  -1.000e-01   0.000e+00  4.460e-01  3.209e-18  151.557  3.554e-17   77.004  4.460e-01   57.634
    2    6  -1.300e-01  -9.000e-02   0.000e+00  4.946e-01  4.555e-18  179.878  3.589e-17   80.409  4.946e-01   70.154
    2    7  -1.300e-01  -8.000e-02   0.000e+00  5.658e-01  6.673e-18 -146.870  3.664e-17   82.885  5.658e-01   79.315
    2    8  -1.300e-01  -7.000e-02   0.000e+00  6.519e-01  9.159e-18 -121.156  3.800e-17   85.513  6.519e-01   85.713
    2    9  -1.300e-01  -6.000e-02   0.000e+00  7.462e-01  1.074e-17  -99.158  3.948e-17   88.775  7.462e-01   90.276
    2   10  -1.300e-01  -5.000e-02   0.000e+00  8.423e-01  1.085e-17  -74.299  4.007e-17   92.485  8.423e-01   93.730
    2   11  -1.300e-01  -4.000e-02   0.000e+00  9.337e-01  1.070e-17  -40.268  3.854e-17   96.145  9.337e-01   96.478
    2   12  -1.300e-01  -3.000e-02   0.000e+00  1.014e+00  1.299e-17   -3.779  3.380e-17   99.299  1.014e+00   98.674
    2   13  -1.300e-01  -2.000e-02   0.000e+00  1.077e+00  1.764e-17   19.514  2.535e-17  101.666  1.077e+00  100.315
    2   14  -1.300e-01  -1.000e-02   0.000e+00  1.117e+00  2.191e-17   30.536  1.364e-17  103.115  1.117e+00  101.340
    2   15  -1.300e-01   0.000e+00   0.000e+00  1.131e+00  2.358e-17   33.737  0.000e+00    0.000  1.131e+00  101.690
    2   16  -1.300e-01   1.000e-02   0.000e+00  1.117e+00  2.191e-17   30.536  1.364e-17  -76.885  1.117e+00  101.340
    2   17  -1.300e-01   2.000e-02   0.000e+00  1.077e+00  1.764e-17   19.514  2.535e-17  -78.334  1.077e+00  100.315
    2   18  -1.300e-01   3.000e-02   0.000e+00  1.014e+00  1.299e-17   -3.779  3.380e-17  -80.701  1.014e+00   98.674
    2   19  -1.300e-01   4.000e-02   0.000e+00  9.337e-01  1.070e-17  -40.268  3.854e-17  -83.855  9.337e-01   96.478
    2   20  -1.300e-01   5.000e-02   0.000e+00  8.423e-01  1.085e-17  -74.299  4.007e-17  -87.515  8.423e-01   93.730
    2   21  -1.300e-01   6.000e-02   0.000e+00  7.462e-01  1.074e-17  -99.158  3.948e-17  -91.225  7.462e-01   90.276
    2   22  -1.300e-01   7.000e-02   0.000e+00  6.519e-01  9.159e-18 -121.156  3.800e-17  -94.487  6.519e-01   85.713
    2   23  -1.300e-01   8.000e-02   0.000e+00  5.658e-01  6.673e-18 -146.870  3.664e-17  -97.115  5.658e-01   79.315
    2   24  -1.300e-01   9.000e-02   0.000e+00  4.946e-01  4.555e-18  179.878  3.589e-17  -99.591  4.946e-01   70.154
    2   25  -1.300e-01   1.000e-01   0.000e+00  4.460e-01  3.209e-18  151.557  3.554e-17 -102.996  4.460e-01   57.634
    2   26  -1.300e-01   1.100e-01   0.000e+00  4.260e-01  2.078e-18  170.938  3.487e-17 -108.542  4.260e-01   42.463
    2   27  -1.300e-01   1.200e-01   0.000e+00  4.333e-01  4.694e-18 -142.169  3.299e-17 -117.405  4.333e-01   26.831
    2   28  -1.300e-01   1.300e-01   0.000e+00  4.549e-01  1.047e-17 -142.794  2.952e-17 -131.237  4.549e-01   12.748
    2   29  -1.300e-01   1.400e-01   0.000e+00  4.718e-01  1.713e-17 -152.464  2.530e-17 -152.981  4.718e-01    0.750
    2   30  -1.300e-01   1.500e-01   0.000e+00  4.660e-01  2.308e-17 -164.770  2.465e-17  177.740  4.660e-01   -9.648
    3    0  -1.200e-01  -1.500e-01   0.000e+00  4.598e-01  2.872e-17 -134.463  2.610e-17   23.499  4.598e-01   20.753
    3    1  -1.200e-01  -1.400e-01   0.000e+00  4.744e-01  2.203e-17 -116.621  2.643e-17   54.386  4.744e-01   31.920
    3    2  -1.200e-01  -1.300e-01   0.000e+00  4.648e-01  1.423e-17  -96.169  3.103e-17   78.200  4.648e-01   44.858
    3    3  -1.200e-01  -1.200e-01   0.000e+00  4.492e-01  7.272e-18  -66.946  3.503e-17   94.487  4.492e-01   59.890
    3    4  -1.200e-01  -1.100e-01   0.000e+00  4.467e-01  3.056e-18   -9.098  3.722e-17  106.019  4.467e-01   76.247
    3    5  -1.200e-01  -1.000e-01   0.000e+00  4.689e-01  2.207e-18   80.141  3.767e-17  114.206  4.689e-01   91.831
    3    6  -1.200e-01  -9.000e-02   0.000e+00  5.166e-01  2.875e-18  166.808  3.718e-17  119.641  5.166e-01  104.572
    3    7  -1.200e-01  -8.000e-02   0.000e+00  5.839e-01  5.839e-18 -138.910  3.673e-17  122.780  5.839e-01  113.844
    3    8  -1.200e-01  -7.000e-02   0.000e+00  6.643e-01  9.441e-18 -110.670  3.702e-17  124.399  6.643e-01  120.214
    3    9  -1.200e-01  -6.000e-02   0.000e+00  7.534e-01  1.159e-17  -89.294  3.799e-17  125.475  7.534e-01  124.595
    3   10  -1.200e-01  -5.000e-02   0.000e+00  8.468e-01  1.120e-17  -65.056  3.871e-17  126.646  8.468e-01  127.747
    3   11  -1.200e-01  -4.000e-02   0.000e+00  9.388e-01  9.799e-18  -25.086  3.771e-17  127.990  9.388e-01  130.142
    3   12  -1.200e-01  -3.000e-02   0.000e+00  1.023e+00  1.269e-17   23.718  3.355e-17  129.291  1.023e+00  131.994
    3   13  -1.200e-01  -2.000e-02   0.000e+00  1.090e+00  1.977e-17   49.394  2.546e-17  130.333  1.090e+00  133.350
    3   14  -1.200e-01  -1.000e-02   0.000e+00  1.135e+00  2.612e-17   59.727  1.380e-17  130.993  1.135e+00  134.187
    3   15  -1.200e-01   0.000e+00   0.000e+00  1.150e+00  2.858e-17   62.564  0.000e+00    0.000  1.150e+00  134.471
    3   16  -1.200e-01   1.000e-02   0.000e+00  1.135e+00  2.612e-17   59.727  1.380e-17  -49.007  1.135e+00  134.187
    3   17  -1.200e-01   2.000e-02   0.000e+00  1.090e+00  1.977e-17   49.394  2.546e-17  -49.667  1.090e+00  133.350
    3   18  -1.200e-01   3.000e-02   0.000e+00  1.023e+00  1.269e-17   23.718  3.355e-17  -50.709  1.023e+00  131.994
    3   19  -1.200e-01   4.000e-02   0.000e+00  9.388e-01  9.799e-18  -25.086  3.771e-17  -52.010  9.388e-01  130.142
    3   20  -1.200e-01   5.000e-02   0.000e+00  8.468e-01  1.120e-17  -65.056  3.871e-17  -53.354  8.468e-01  127.747
    3   21  -1.200e-01   6.000e-02   0.000e+00  7.534e-01  1.159e-17  -89.294  3.799e-17  -54.525  7.534e-01  124.595
    3   22  -1.200e-01   7.000e-02   0.000e+00  6.643e-01  9.441e-18 -110.670  3.702e-17  -55.601  6.643e-01  120.214
    3   23  -1.200e-01   8.000e-02   0.000e+00  5.839e-01  5.839e-18 -138.910  3.673e-17  -57.220  5.839e-01  113.844
    3   24  -1.200e-01   9.000e-02   0.000e+00  5.166e-01  2.875e-18  166.808  3.718e-17  -60.359  5.166e-01  104.572
    3   25  -1.200e-01   1.000e-01   0.000e+00  4.689e-01  2.207e-18   80.141  3.767e-17  -65.794  4.689e-01   91.831
